east,north,height,cat
8.94470256,39.35063294,21,2
8.94469976,39.3506425,21,2
8.94469695,39.35065206,21,2
8.94469414,39.35066161,21,2
8.94469133,39.35067117,21,2
8.94468852,39.35068073,21,2
8.94468571,39.35069029,21,2
8.9446829,39.35069984,21,2
8.94468009,39.3507094,21,2
8.94467728,39.35071896,21,2
8.94467447,39.35072852,21,2
8.94467166,39.35073807,21,2
8.94466885,39.35074763,21,2
8.94466604,39.35075719,21,2
8.94466323,39.35076675,21.0263655,2
8.94466042,39.3507763,21.08240179,2
8.94465761,39.35078586,21.13843808,2
8.9446548,39.35079542,21.19447437,2
8.94465199,39.35080498,21.25051066,2
8.94464919,39.35081453,21.30654695,2
8.94464638,39.35082409,21.36258324,2
8.94464357,39.35083365,21.41861953,2
8.94464076,39.35084321,21.47465582,2
8.94463795,39.35085276,21.53069211,2
8.94463514,39.35086232,21.5867284,2
8.94463233,39.35087188,21.64276469,2
8.94462952,39.35088144,21.69880098,2
8.94462671,39.35089099,21.75483727,2
8.9446239,39.35090055,21.81087356,2
8.94462109,39.35091011,21.86690985,2
8.94461828,39.35091966,21.92294614,2
8.94461547,39.35092922,21.97898243,2
8.94461266,39.35093878,22,2
8.94460985,39.35094834,22,2
8.94460704,39.35095789,22,2
8.94460423,39.35096745,22,2
8.94460142,39.35097701,22,2
8.94459861,39.35098657,22,2
8.94459581,39.35099612,22,2
8.944593,39.35100568,22,2
8.94459019,39.35101524,22,2
8.94458738,39.3510248,22,2
8.94458457,39.35103435,22,2
8.94458176,39.35104391,22,2
8.94457895,39.35105347,22,2
8.94457614,39.35106303,22,2
8.94457333,39.35107258,22,2
8.94457052,39.35108214,22,2
8.94456771,39.3510917,22,2
8.9445649,39.35110126,22,2
8.94456209,39.35111081,22,2
8.94455928,39.35112037,22,2
8.94455647,39.35112993,22,2
8.94455366,39.35113949,22,2
8.94455085,39.35114904,22,2
8.94454804,39.3511586,22,2
8.94454524,39.35116816,22,2
8.94454243,39.35117772,22,2
8.94453962,39.35118727,22,2
8.94453681,39.35119683,22,2
8.944534,39.35120639,22,2
8.94453119,39.35121595,22,2
8.94452838,39.3512255,22,2
8.94452557,39.35123506,22,2
8.94452276,39.35124462,22,2
8.94451995,39.35125417,22,2
8.94451714,39.35126373,22,2
8.94451433,39.35127329,22,2
8.94451152,39.35128285,21.9649217,2
8.94450871,39.3512924,21.92614015,2
8.9445059,39.35130196,21.88610163,2
8.94450309,39.35131152,21.84480612,2
8.94450028,39.35132108,21.80225365,2
8.94449747,39.35133063,21.7584442,2
8.94449466,39.35134019,21.71337778,2
8.94449186,39.35134975,21.66705438,2
8.94448905,39.35135931,21.61947401,2
8.94448624,39.35136886,21.57063667,2
8.94448343,39.35137842,21.52054235,2
8.94448062,39.35138798,21.46919105,2
